model,name,prmean,prmean_bias,r1mm_pct,r1mm_pct_bias,sdii,sdii_bias,cdd,cdd_bias,prcptot,prcptot_bias,pcorr
M1,ACCESS-CM2,6.919798144002808,1.6975108034513813,72.76086576586638,17.19821321635562,9.403997063755195,0.09716893815589245,15.867556338457378,-2.8802828688831443,1260.9831969794357,309.34709566283027,0.6544085219183778
M2,BCC-CSM2-MR,6.80675726777098,1.584469927219553,71.32247860623654,15.759826056725778,9.323382333297133,0.01655420769782978,11.869387607342157,-6.878451599998366,1238.8298228807637,287.1937215641583,0.8647922846586699
M3,CMCC-ESM2,6.875912104246439,1.6536247636950119,78.48719641834933,22.924543868838562,8.696247181073389,-0.610580944525914,16.345880212752824,-2.401958994587698,1251.416003239444,299.7799019228387,0.5334988213620024
M4,CNRM-CM6-1-HR,3.786353127624505,-1.435934212926922,49.44167709757939,-6.120975451931379,7.375793878532702,-1.9310342470666004,32.349462136239445,13.601622928898923,689.9387501098317,-261.69735120677365,0.8169510340167025
M5,HadGEM3-GC3-1-LL,6.303085710183352,1.0807983696319257,68.91535454132749,13.352701991816723,9.001087187130883,-0.30574093846841954,17.628504092286704,-1.1193351150538184,1134.5554277151516,182.91932639854622,0.7948502894466213
M6,IITM-ESM,2.536063574552716,-2.6862237659987107,54.99563974166449,-0.5670128078462753,4.307000508824049,-4.999827616775254,15.613022618015249,-3.1348165893252737,462.0866433241543,-489.5494579924511,0.7248566585310623
M7,INM-CM5-0,7.73310704928203,2.5108197087306037,86.61976755919531,31.057115009684544,8.855123979970793,-0.4517041456285096,7.716468532205068,-11.031370675135454,1407.4254832833356,455.78938196673016,0.6801412228602968
M8,IPSL-CM6A-LR,7.142999321104233,1.920711980552806,82.62745318616298,27.064800636652215,8.630570980076662,-0.6762571455226407,13.694980525211204,-5.052858682129319,1301.644099824754,350.0079985081486,0.17425144246928262
M9,MIROC6,8.413669827038255,3.1913824864868285,75.44124249446055,19.878589944949788,10.991325300516337,1.684497174917034,15.252997534344551,-3.494841672995971,1533.2321764533276,581.5960751367222,0.6182761641268048
M10,MIROC-ES2L,9.248390910292619,4.026103569741192,91.32157995030471,35.758927400793944,10.067853974815147,0.7610258492158444,8.049285533362154,-10.698553673978369,1685.2621536450972,733.6260523284918,0.0839264467327584
M11,MRI-ESM2-0,6.380297200215136,1.158009859663709,64.41658276611277,8.853930216602002,9.794897145004276,0.48806901940497305,21.38848345410472,2.6406442467641966,1162.713539340831,211.07743802422556,0.7745398828046505
M12,NorESM2-MM,5.800475834503867,0.5781884939524407,62.28234037241529,6.719687822904525,9.20836413734469,-0.098463988254613,25.237888838666006,6.490049631325483,1055.6866017684897,104.05050045188432,0.8488682528448656
M13,TaiESM1,6.463319184911168,1.2410318443597417,78.86206625887401,23.299413709363243,8.099893392936245,-1.2069347326630577,15.807945020821277,-2.939894186519245,1176.3240914739931,224.68799015738773,0.7171072442631581
M14,UKESM1-0-LL,6.479207365156177,1.2569200246047503,69.78481099515457,14.222158445643807,9.168464203556093,-0.1383639220432098,18.382230144289835,-0.3656090630506874,1166.257325844387,214.62122452778158,0.7031266229648797
M15,CanESM5,9.03012731486335,3.807839974311923,79.4360770375235,23.873424488012738,11.253564672909992,1.9467365473106888,16.662333600392554,-2.0855056069479687,1643.4831707882754,691.84706947167,0.8581441310250751
