rank,model,name,prmean,prmean_bias,r1mm_pct,r1mm_pct_bias,sdii,sdii_bias,cdd,cdd_bias,prcptot,prcptot_bias,pcorr,prmean_rae,r1mm_pct_rae,sdii_rae,cdd_rae,skill
1,M25,HadGEM3-GC31-MM,6.386936533997346,1.1646491934459196,65.85816916479402,10.295516615283255,9.51704271988126,0.21021459428195755,16.804930536220155,-1.9429086711203674,1149.6485761344024,198.01247481779706,0.866276772855534,0.22301514977974057,0.18529562831992455,0.022587136180557865,0.10363373878092796,0.26735614040975375
2,M12,NorESM2-MM,5.800475834503867,0.5781884939524407,62.28234037241529,6.719687822904525,9.20836413734469,-0.098463988254613,25.237888838666006,6.490049631325483,1055.6866017684897,104.05050045188432,0.8488682528448656,0.11071556508634953,0.12093893136071476,0.01057975788590944,0.34617587443273845,0.2982342793465625
3,M16,CESM2,5.992565498833332,0.7702781582819052,63.20372101478949,7.641068465278721,9.378068952784586,0.07124082718528335,26.534888502680126,7.787049295339603,1090.646920570852,139.0108192542466,0.8603298032641183,0.14749823363809214,0.13752166454742093,0.007654683875522401,0.41535716245585597,0.31667813286510454
4,M5,HadGEM3-GC3-1-LL,6.303085710183352,1.0807983696319257,68.91535454132749,13.352701991816723,9.001087187130883,-0.30574093846841954,17.628504092286704,-1.1193351150538184,1134.5554277151516,182.91932639854622,0.7948502894466213,0.20695880926341426,0.24031793622376826,0.0328512501082351,0.05970475331448087,0.3401078977808534
5,M17,CESM2-WACCM,6.186074631336937,0.9637872907855103,62.6212636236999,7.0586110741891375,9.746751984826831,0.4399238592275285,30.02721409602441,11.279374888683886,1125.8655832455845,174.2294819289791,0.888904265708063,0.1845527118551357,0.12703877065443106,0.04726893559122218,0.601635994630654,0.3512198374747977
6,M23,FGOALS-g3,5.3864403440305475,0.16415300347912076,68.46864542180839,12.905992872297624,7.411774724769025,-1.8950534008302782,13.288657523259179,-5.459181684081344,980.332142767306,28.69604145070059,0.8318501991955085,0.031433161902919664,0.2322781991158063,0.203619683876804,0.2911899138725202,0.357780040496504
7,M11,MRI-ESM2-0,6.380297200215136,1.158009859663709,64.41658276611277,8.853930216602002,9.794897145004276,0.48806901940497305,21.38848345410472,2.6406442467641966,1162.713539340831,211.07743802422556,0.7745398828046505,0.22174380384466427,0.15935038754156747,0.05244203640792436,0.14085059177007875,0.3690568220864082
8,M2,BCC-CSM2-MR,6.80675726777098,1.584469927219553,71.32247860623654,15.759826056725778,9.323382333297133,0.01655420769782978,11.869387607342157,-6.878451599998366,1238.8298228807637,287.1937215641583,0.8647922846586699,0.30340535169637894,0.283640635095355,0.001778716386982143,0.3668930335878483,0.3741371495329712
9,M24,GFDL-ESM4,7.448038490691548,2.2257511501401215,71.19122057811879,15.628568028608022,10.310005750847495,1.0031776252481919,23.304174465213443,4.55633525787292,1355.5430051046092,403.9069037880038,0.8796934550466861,0.42620235253181266,0.2812782923688123,0.107789422100625,0.24303255471110155,0.38488220038140186
10,M14,UKESM1-0-LL,6.479207365156177,1.2569200246047503,69.78481099515457,14.222158445643807,9.168464203556093,-0.1383639220432098,18.382230144289835,-0.3656090630506874,1166.257325844387,214.62122452778158,0.7031266229648797,0.2406838120232639,0.25596615339720735,0.014866925678215424,0.01950139741477711,0.42962794916348623
11,M27,KACE-1-0-G,6.4032604363767485,1.1809730958253217,73.33420801366837,17.771555464157608,8.623373910002377,-0.6834542155969263,14.089838375775727,-4.658000831564795,1152.5868786664805,200.95077734987512,0.7758516727454159,0.22614096444961634,0.3198471391969944,0.07343578353155802,0.24845534357586144,0.44111813494309166
12,M15,CanESM5,9.03012731486335,3.807839974311923,79.4360770375235,23.873424488012738,11.253564672909992,1.9467365473106888,16.662333600392554,-2.0855056069479687,1643.4831707882754,691.84706947167,0.8581441310250751,0.7291517540108869,0.42966675262199927,0.20917293421977004,0.1112397852298312,0.5116636754955468
13,M4,CNRM-CM6-1-HR,3.786353127624505,-1.435934212926922,49.44167709757939,-6.120975451931379,7.375793878532702,-1.9310342470666004,32.349462136239445,13.601622928898923,689.9387501098317,-261.69735120677365,0.8169510340167025,0.2749626972412629,0.11016348520217066,0.20748575357861287,0.7255034982150556,0.512577824542573
14,M13,TaiESM1,6.463319184911168,1.2410318443597417,78.86206625887401,23.299413709363243,8.099893392936245,-1.2069347326630577,15.807945020821277,-2.939894186519245,1176.3240914739931,224.68799015738773,0.7171072442631581,0.23764143246639122,0.4193358783330512,0.12968271427977388,0.1568124280353418,0.5187608690154815
15,M1,ACCESS-CM2,6.919798144002808,1.6975108034513813,72.76086576586638,17.19821321635562,9.403997063755195,0.09716893815589245,15.867556338457378,-2.8802828688831443,1260.9831969794357,309.34709566283027,0.6544085219183778,0.3250512070199759,0.3095282969262606,0.010440607352425493,0.1536327913328486,0.5452547037394998
16,M18,CMCC-CM2-SR5,6.8484530120105545,1.6261656714591277,78.41074200821798,22.848089458707214,8.663668827575002,-0.643159298024301,17.089874328897004,-1.6579648784435186,1246.4184482482005,294.78234693159516,0.647415889276945,0.31138954358789056,0.41121307947542174,0.06910617552453033,0.08843498496585994,0.5726200566114805
17,M19,CNRM-CM6-1,3.4563947509822754,-1.7658925895691513,44.66124842797279,-10.901404121537979,7.348029569231646,-1.9587985563676567,28.203733699486868,9.455894492146346,629.8622798289655,-321.7738214876399,0.7374515709292782,0.3381454283177549,0.19620021041695151,0.21046897288022304,0.5043724979486697,0.5748452064616216
18,M6,IITM-ESM,2.536063574552716,-2.6862237659987107,54.99563974166449,-0.5670128078462753,4.307000508824049,-4.999827616775254,15.613022618015249,-3.1348165893252737,462.0866433241543,-489.5494579924511,0.7248566585310623,0.5143768603347416,0.010204926903751068,0.5372214410001577,0.16720948769914074,0.5823965204533855
19,M20,CNRM-ESM2-1,3.4722434869228587,-1.750043853628568,44.66766585151822,-10.894986697992543,7.423089437797165,-1.883738687802138,34.27990327581934,15.532064068478821,632.7472095326191,-318.8888917839863,0.7863129928802767,0.33511060183137664,0.19608471154763965,0.2024039406745611,0.8284722253430359,0.6042048769688766
20,M28,MPI-ESM1-2-LR,6.132927477066493,0.9106401365150667,68.21023593170425,12.647583382193481,8.89272810662382,-0.414100018975482,19.343727960360404,0.5958887530198815,1117.643725606074,166.0076242894686,0.47011588369174356,0.17437572410921978,0.22762742241154657,0.044494215793720426,0.03178439640054986,0.6494545559870155
21,M26,INM-CM4-8,7.051169580506794,1.8288822399553677,85.05272547797148,29.490072928460712,8.216377174517005,-1.090450951082298,7.272972059330032,-11.47486714801049,1283.3128636971421,331.67676238053673,0.7372126570101994,0.35020712586110864,0.5307535111320091,0.11716676577306831,0.6120634501451039,0.665335056217623
22,M3,CMCC-ESM2,6.875912104246439,1.6536247636950119,78.48719641834933,22.924543868838562,8.696247181073389,-0.610580944525914,16.345880212752824,-2.401958994587698,1251.416003239444,299.7799019228387,0.5334988213620024,0.3166476020678716,0.41258908307897935,0.06560569683740629,0.12811924446456932,0.6972415852502042
23,M9,MIROC6,8.413669827038255,3.1913824864868285,75.44124249446055,19.878589944949788,10.991325300516337,1.684497174917034,15.252997534344551,-3.494841672995971,1533.2321764533276,581.5960751367222,0.6182761641268048,0.6111081750913091,0.35776891550014417,0.18099584006323988,0.18641303855580338,0.7157953281758194
24,M7,INM-CM5-0,7.73310704928203,2.5108197087306037,86.61976755919531,31.057115009684544,8.855123979970793,-0.4517041456285096,7.716468532205068,-11.031370675135454,1407.4254832833356,455.78938196673016,0.6801412228602968,0.4807892681878902,0.5589566657569159,0.04853470371780639,0.5884075787686633,0.7390308312475222
